"invoiceNo","channel","customer","product","category","price","datetime","quantity","amount","category2","cost"
"N1","s1","c1","p1","kind1",1980,2015-01-07 20:07:11,1,1692,"sub1",931.39
"N2","s1","c2","p2","kind1",1400,2015-01-18 19:56:06,1,1197,"sub2",793.36
"N3","s1","c3","p3","kind1",1600,2015-01-14 21:41:51,1,1368,"sub1",846.72
"N4","s1","c4","p3","kind1",1600,2015-01-07 19:12:20,1,1360,"sub1",846.72
"N5","s1","c5","p3","kind1",1600,2015-01-31 12:40:09,1,1368,"sub1",846.72
"N3","s1","c3","p2","kind1",1400,2015-01-14 21:43:38,1,1197,"sub1",740.88
"N6","s1","c6","p3","kind1",1600,2015-01-29 20:10:56,1,1216,"sub1",846.72
"N7","s1","c7","p3","kind1",1600,2015-01-17 14:26:13,1,1360,"sub1",846.72
"N8","s1","c7","p4","kind1",3250,2015-01-28 20:41:39,1,2776,"sub1",1719.9
"N9","s1","c8","p5","kind1",400,2015-01-17 20:06:32,1,342,"sub3",188.16
"N10","s1","c9","p6","kind1",2200,2015-01-13 18:26:15,1,1881,"sub1",1164.24
"N11","s1","c9","p7","kind1",1080,2015-01-29 21:56:03,1,540,"sub1",508.03
"N12","s1","c2","p6","kind1",2200,2015-01-17 21:02:03,1,1880,"sub1",1164.24
"N9","s1","c8","p8","kind1",400,2015-01-17 20:09:19,2,684,"sub3",211.68
"N13","s1","c6","p9","kind1",1980,2015-01-21 21:35:35,1,1691,"sub1",931.25
"N14","s1","c10","p4","kind1",3250,2015-01-28 21:28:05,1,2770,"sub1",1719.46
"N15","s1","c7","p10","kind1",2680,2015-01-10 20:08:25,1,2160,"sub1",1260.67
"N1","s1","c1","p11","kind1",1080,2015-01-07 20:26:35,1,550,"sub1",0
"N16","s1","c11","p12","kind1",2900,2015-01-26 16:51:29,1,1827,"sub1",1534.68
"N17","s1","c12","p13","kind1",2280,2015-01-26 18:34:10,1,1940,"sub1",1072.22
"N18","s1","c6","p14","kind1",1980,2015-01-25 15:31:20,1,1690,"sub4",931
"N19","s1","c13","p15","kind1",3350,2015-01-30 11:47:32,1,2824,"sub1",1772.97
"N20","s1","c14","p13","kind1",2280,2015-01-19 22:05:21,1,1948,"sub1",1072.22
"N20","s1","c14","p16","kind1",2480,2015-01-19 22:08:49,1,2120,"sub1",1166.89
"N21","s1","c15","p17","kind1",1280,2015-01-06 16:54:40,1,1090,"sub1",602.11
"N22","s1","c16","p18","kind1",1480,2015-01-07 16:43:32,1,1264,"sub1",696.19
"N23","s1","c2","p19","kind1",1480,2015-01-27 21:44:09,1,1264,"sub1",696.63
"N24","s1","c9","p20","kind1",2700,2015-01-11 19:07:09,1,2308,"sub1",1428.84
"N25","s1","c17","p21","kind1",2280,2015-01-02 19:47:21,1,1457,"sub1",1072.51
