feature,importance,rank
pm2.5_lag24,0.3308440992812875,1
pm2.5_lag1,0.2354326450860093,2
pm10_lag24,0.14571868887642692,3
pm10_lag1,0.14478219977648557,4
month_cos,0.0373960033371069,5
o3_lag24,0.028608643462888283,6
season_summer,0.023666310149162047,7
county_encoded,0.018741195479515967,8
o3_lag1,0.013315279524275142,9
windspeed,0.004376040144703867,10
hour_cos,0.004246750034506693,11
hour_sin,0.003919088140703753,12
month_sin,0.003815009839980718,13
season_winter,0.003126852673424602,14
season_spring,0.0013207426230132753,15
season_autumn,0.0006904515705094703,16
